"Alekhine Defense, Balogh Variation",,672,B03,4/20/17,2256,2233,40.90%,24.40%,34.70%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Bc4
"Alekhine Defense, Brooklyn Variation",,211,B02,1/25/17,2153,2199,29.90%,22.30%,47.90%,1.e4 Nf6 2.e5 Ng8
"Alekhine Defense, Exchange Variation",,6027,B03,4/23/17,2254,2203,40.80%,28.10%,31.10%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.exd6
"Alekhine Defense, Four Pawns Attack",,842,B03,4/6/17,2196,2140,38.80%,23.80%,37.40%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4
"Alekhine Defense, Four Pawns Attack, Fianchetto Variation",,242,B03,3/5/17,2128,2187,37.60%,21.10%,41.30%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 g6
"Alekhine Defense, Four Pawns Attack, Main Line",,1167,B03,4/3/17,2254,2198,41.00%,26.10%,32.90%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 dxe5 6.fxe5 Nc6 7.Be3
"Alekhine Defense, Four Pawns Attack, Trifunovic Variation",,313,B03,1/31/17,2239,2287,35.80%,23.60%,40.60%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.c4 Nb6 5.f4 Bf5
"Alekhine Defense, General",,484,B02,3/26/17,2038,2086,42.10%,24.20%,33.70%,1.e4 Nf6
"Alekhine Defense, Hunt Variation, Lasker Simul Gambit",,326,B02,3/25/17,2210,2180,33.40%,23.60%,42.90%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5 Nd5 5.Nc3 e6 6.Bc4
"Alekhine Defense, Maroczy Variation",,877,B02,3/5/17,2182,2185,35.80%,26.10%,38.10%,1.e4 Nf6 2.d3
"Alekhine Defense, Modern Variation",,474,B04,3/16/17,2411,2346,44.10%,31.40%,24.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3
"Alekhine Defense, Modern Variation, Alburt Variation",,2515,B04,4/9/17,2257,2305,28.20%,30.40%,41.40%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6
"Alekhine Defense, Modern Variation, Alekhine Gambit",,115,B04,3/30/17,2100,2091,35.60%,22.60%,41.70%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.c4 Nb6 6.Be2
"Alekhine Defense, Modern Variation, Keres Variation",,267,B04,3/11/17,2445,2386,45.30%,36.70%,18.00%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 g6 5.Bc4 Nb6 6.Bb3 Bg7 7.a4
"Alekhine Defense, Modern Variation, Larsen Variation",,1162,B04,4/11/17,2247,2287,22.60%,35.50%,41.90%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5
"Alekhine Defense, Modern Variation, Larsen Variation, Miles Line",,1329,B04,4/23/17,2279,2310,25.60%,36.30%,38.10%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 dxe5 5.Nxe5 c6
"Alekhine Defense, Modern Variation, Larsen-Haakert Variation",,649,B04,4/20/17,2185,2208,31.60%,21.70%,46.70%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nc6
"Alekhine Defense, Modern Variation, Main Line",,4926,B05,4/23/17,2218,2280,25.00%,30.30%,44.70%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4
"Alekhine Defense, Modern Variation, Panov Variation",,175,B05,2/18/17,2325,2298,45.10%,21.70%,33.10%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3
"Alekhine Defense, Modern Variation, Schmid Variation",,654,B04,4/19/17,2308,2339,31.60%,34.90%,33.50%,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6
"Alekhine Defense, Normal Variation",,927,B02,3/25/17,2162,2193,34.60%,26.90%,38.50%,1.e4 Nf6 2.e5 Nd5
"Alekhine Defense, Normal Variation",,1114,B03,4/4/17,2138,2169,40.90%,27.30%,31.80%,1.e4 Nf6 2.e5 Nd5 3.d4 d6
"Alekhine Defense, Saemisch Attack",,1392,B02,3/31/17,2253,2216,37.10%,30.30%,32.60%,1.e4 Nf6 2.e5 Nd5 3.Nc3
"Alekhine Defense, Scandinavian Variation",,4653,B02,4/22/17,2148,2166,39.20%,28.50%,32.30%,1.e4 Nf6 2.Nc3 d5
"Alekhine Defense, Spielmann Gambit",,137,B02,1/17/17,2274,2218,40.10%,18.30%,41.60%,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6
"Alekhine Defense, Two Pawn Attack",,363,B02,3/31/17,2000,1985,36.10%,19.00%,44.90%,1.e4 Nf6 2.e5 Nd5 3.c4
"Alekhine Defense, Two Pawn Attack, Lasker Variation",,929,B02,4/22/17,2219,2212,33.10%,30.30%,36.60%,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5
"Anderssen Opening, General",,1230,A00,4/13/17,2131,2135,35.60%,25.90%,38.50%,1.a3
"Benko Gambit, Accepted, Central Storming Variation",,205,A57,2/11/17,2260,2249,39.00%,21.90%,39.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4
"Benko Gambit, Accepted, Dlugy Variation",,1483,A57,4/20/17,2299,2279,41.90%,25.10%,33.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3
"Benko Gambit, Accepted, Fianchetto Variation",,2731,A58,4/23/17,2296,2279,42.40%,29.40%,28.20%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2
"Benko Gambit, Accepted, Fully Accepted Variation",,3950,A58,4/23/17,2284,2271,38.10%,30.50%,31.50%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6
"Benko Gambit, Accepted, King Walk Variation",,1596,A59,4/14/17,2325,2287,41.40%,33.70%,24.90%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3
"Benko Gambit, Accepted, Modern Variation",,1902,A57,4/22/17,2347,2314,43.40%,28.00%,28.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3
"Benko Gambit, Accepted, Pawn Return Variation",,3445,A57,4/16/17,2252,2236,39.50%,26.70%,33.80%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6
"Benko Gambit, Accepted, Yugoslav with 7...Bxf1, Nge2",,164,A59,12/14/16,2246,2234,41.50%,19.50%,39.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2
"Benko Gambit, Accepted, Yugoslav without 7...Bxf1",,318,A59,4/2/17,2162,2144,37.10%,28.90%,34.00%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4
"Benko Gambit, Declined, Bishop Attack",,155,A57,3/29/17,2306,2246,40.60%,29.70%,29.70%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5
"Benko Gambit, Declined, Main Line",,2947,A57,4/17/17,2360,2325,45.10%,28.00%,26.90%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3
"Benko Gambit, Declined, Pseudo-Saemisch",,191,A57,1/25/17,2173,2181,40.30%,16.80%,42.90%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3
"Benko Gambit, Declined, Quiet Line",,627,A57,3/31/17,2320,2299,44.30%,25.00%,30.60%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2
"Benko Gambit, Declined, Sosonko Variation",,675,A57,1/14/17,2231,2221,35.60%,25.90%,38.50%,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4
